銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
日本セラミック(株),6929,東証1部,電気機器,2010年2月9日,1068円買い,2010年12月22日,1434円売り,366円,34.27%(1.34倍)
日本電子(株),6951,東証1部,電気機器,2010年11月1日,225円買い,2010年12月16日,302円売り,77円,34.22%(1.34倍)
日本高周波鋼業(株),5476,東証1部,鉄鋼,2010年11月2日,76円買い,2010年12月16日,102円売り,26円,34.21%(1.34倍)
新日鉄住金ソリューションズ(株),2327,東証1部,情報・通信業,2010年10月12日,1346円買い,2010年12月16日,1806円売り,460円,34.18%(1.34倍)
堺化学工業(株),4078,東証1部,化学,2010年9月9日,314円買い,2010年12月13日,421円売り,107円,34.08%(1.34倍)
ローランド　ディー．ジー．(株),6789,東証1部,電気機器,2010年11月2日,1077円買い,2010年12月17日,1444円売り,367円,34.08%(1.34倍)
(株)八千代銀行,8409,東証1部,銀行業,2010年8月4日,1633円買い,2010年12月21日,2188円売り,555円,33.99%(1.34倍)
高砂香料工業(株),4914,東証1部,化学,2010年8月12日,380円買い,2010年12月10日,509円売り,129円,33.95%(1.34倍)
(株)東和銀行,8558,東証1部,銀行業,2010年2月9日,59円買い,2010年12月20日,79円売り,20円,33.9%(1.34倍)
(株)ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725,東証1部,情報・通信業,2010年11月1日,496円買い,2010年12月24日,664円売り,168円,33.87%(1.34倍)
(株)明光ネットワークジャパン,4668,東証1部,サービス業,2010年2月2日,523円買い,2010年12月14日,700円売り,177円,33.84%(1.34倍)
双日(株),2768,東証1部,卸売業,2010年7月22日,133円買い,2010年12月30日,178円売り,45円,33.83%(1.34倍)
ユニーグループ・ホールディングス(株),8270,東証1部,小売業,2010年8月31日,617円買い,2010年12月14日,825円売り,208円,33.71%(1.34倍)
ＧＣＡサヴィアン(株),2174,東証1部,サービス業,2010年11月9日,692円買い,2010年12月16日,925円売り,233円,33.67%(1.34倍)
トランスコスモス(株),9715,東証1部,サービス業,2010年11月2日,624円買い,2010年12月16日,834円売り,210円,33.65%(1.34倍)
キヤノン(株),7751,東証1部,電気機器,2010年7月1日,3225円買い,2010年12月27日,4310円売り,1085円,33.64%(1.34倍)
神栄(株),3004,東証1部,卸売業,2010年11月1日,119円買い,2010年12月21日,159円売り,40円,33.61%(1.34倍)
(株)シマノ,7309,東証1部,輸送用機器,2010年2月8日,3460円買い,2010年10月5日,4620円売り,1160円,33.53%(1.34倍)
ダイワボウホールディングス(株),3107,東証1部,卸売業,2010年7月22日,173円買い,2010年11月30日,231円売り,58円,33.53%(1.34倍)
キヤノン電子(株),7739,東証1部,電気機器,2010年2月17日,1834円買い,2010年4月30日,2449円売り,615円,33.53%(1.34倍)
バンドー化学(株),5195,東証1部,ゴム製品,2010年2月9日,254円買い,2010年12月17日,339円売り,85円,33.46%(1.33倍)
みらかホールディングス(株),4544,東証1部,サービス業,2010年6月18日,2469円買い,2010年12月29日,3295円売り,826円,33.45%(1.33倍)
(株)ゲオホールディングス,2681,東証1部,小売業,2010年10月12日,739円買い,2010年12月13日,986円売り,247円,33.42%(1.33倍)
(株)日立国際電気,6756,東証1部,電気機器,2010年10月12日,614円買い,2010年12月16日,819円売り,205円,33.39%(1.33倍)
オムロン(株),6645,東証1部,電気機器,2010年1月4日,1695円買い,2010年6月21日,2261円売り,566円,33.39%(1.33倍)
(株)Ｔ＆Ｄホールディングス,8795,東証1部,保険業,2010年9月1日,799円買い,2010年12月13日,1065.5円売り,266.5円,33.35%(1.33倍)
住友林業(株),1911,東証1部,建設業,2010年10月13日,552円買い,2010年12月16日,736円売り,184円,33.33%(1.33倍)
古河機械金属(株),5715,東証1部,非鉄金属,2010年8月31日,81円買い,2010年12月15日,108円売り,27円,33.33%(1.33倍)
宮地エンジニアリンググループ(株),3431,東証1部,金属製品,2010年11月2日,66円買い,2010年12月14日,88円売り,22円,33.33%(1.33倍)
日成ビルド工業(株),1916,東証1部,建設業,2010年11月2日,42円買い,2010年12月16日,56円売り,14円,33.33%(1.33倍)
ホクシン(株),7897,東証1部,その他製品,2010年10月5日,87円買い,2010年12月20日,116円売り,29円,33.33%(1.33倍)
(株)横河ブリッジホールディングス,5911,東証1部,金属製品,2010年10月28日,417円買い,2010年12月15日,556円売り,139円,33.33%(1.33倍)
豊田通商(株),8015,東証1部,卸売業,2010年9月8日,1099円買い,2010年12月14日,1465円売り,366円,33.3%(1.33倍)
(株)ヒマラヤ,7514,東証1部,小売業,2010年3月12日,322円買い,2010年5月10日,429円売り,107円,33.23%(1.33倍)
ニチコン(株),6996,東証1部,電気機器,2010年11月2日,874円買い,2010年12月16日,1164円売り,290円,33.18%(1.33倍)
ＤＯＷＡホールディングス(株),5714,東証1部,非鉄金属,2010年7月2日,408円買い,2010年12月29日,543円売り,135円,33.09%(1.33倍)
東京建物不動産販売(株),3225,東証1部,不動産業,2010年10月21日,209円買い,2010年12月29日,278円売り,69円,33.01%(1.33倍)
阪和興業(株),8078,東証1部,卸売業,2010年11月10日,294円買い,2010年12月17日,391円売り,97円,32.99%(1.33倍)
興銀リース(株),8425,東証1部,その他金融業,2010年7月2日,1553円買い,2010年12月29日,2065円売り,512円,32.97%(1.33倍)
(株)ユニカフェ,2597,東証1部,食料品,2010年11月4日,334円買い,2010年11月9日,444円売り,110円,32.93%(1.33倍)
(株)光通信,9435,東証1部,情報・通信業,2010年8月12日,1407円買い,2010年12月14日,1870円売り,463円,32.91%(1.33倍)
(株)ファーストリテイリング,9983,東証1部,小売業,2010年10月20日,10440円買い,2010年11月24日,13870円売り,3430円,32.85%(1.33倍)
東海カーボン(株),5301,東証1部,ガラス土石製品,2010年7月1日,408円買い,2010年9月17日,542円売り,134円,32.84%(1.33倍)
東洋インキＳＣホールディングス(株),4634,東証1部,化学,2010年8月24日,302円買い,2010年12月29日,401円売り,99円,32.78%(1.33倍)
野村ホールディングス(株),8604,東証1部,証券商品先物,2010年11月1日,397円買い,2010年12月14日,527円売り,130円,32.75%(1.33倍)
(株)キッツ,6498,東証1部,機械,2010年11月1日,312円買い,2010年12月16日,414円売り,102円,32.69%(1.33倍)
新光電気工業(株),6967,東証1部,電気機器,2010年11月2日,765円買い,2010年12月14日,1015円売り,250円,32.68%(1.33倍)
(株)ナカヨ通信機,6715,東証1部,電気機器,2010年11月1日,147円買い,2010年12月24日,195円売り,48円,32.65%(1.33倍)
(株)大和証券グループ本社,8601,東証1部,証券商品先物,2010年10月4日,322円買い,2010年12月14日,427円売り,105円,32.61%(1.33倍)
伊藤忠テクノソリューションズ(株),4739,東証1部,情報・通信業,2010年10月12日,2398円買い,2010年12月13日,3180円売り,782円,32.61%(1.33倍)
アルコニックス(株),3036,東証1部,卸売業,2010年7月1日,1358円買い,2010年9月28日,1800円売り,442円,32.55%(1.33倍)
イチカワ(株),3513,東証1部,繊維製品,2010年10月28日,120円買い,2010年12月14日,159円売り,39円,32.5%(1.33倍)
(株)ドンキホーテホールディングス,7532,東証1部,小売業,2010年1月27日,2000円買い,2010年12月10日,2650円売り,650円,32.5%(1.33倍)
オリックス(株),8591,東証1部,その他金融業,2010年7月21日,610円買い,2010年12月29日,808円売り,198円,32.46%(1.32倍)
ソニー(株),6758,東証1部,電気機器,2010年7月1日,2296円買い,2010年12月8日,3040円売り,744円,32.4%(1.32倍)
日本農薬(株),4997,東証1部,化学,2010年7月1日,386円買い,2010年9月21日,511円売り,125円,32.38%(1.32倍)
ＳＭＫ(株),6798,東証1部,電気機器,2010年11月2日,340円買い,2010年12月20日,450円売り,110円,32.35%(1.32倍)
丸三証券(株),8613,東証1部,証券商品先物,2010年11月1日,403円買い,2010年12月17日,533円売り,130円,32.26%(1.32倍)
ホンダ,7267,東証1部,輸送用機器,2010年7月2日,2495円買い,2010年12月22日,3300円売り,805円,32.26%(1.32倍)
大研医器(株),7775,東証1部,精密機器,2010年9月2日,355円買い,2010年12月6日,469.5円売り,114.5円,32.25%(1.32倍)
(株)ＦＪネクスト,8935,東証1部,不動産業,2010年10月18日,153.5円買い,2010年12月30日,203円売り,49.5円,32.25%(1.32倍)
昭和電工(株),4004,東証1部,化学,2010年9月1日,146円買い,2010年12月14日,193円売り,47円,32.19%(1.32倍)
ＨＩＯＫＩ(株),6866,東証1部,電気機器,2010年2月10日,1483円買い,2010年5月6日,1960円売り,477円,32.16%(1.32倍)
(株)進和,7607,東証1部,卸売業,2010年11月1日,787円買い,2010年12月17日,1040円売り,253円,32.15%(1.32倍)
エコナックホールディングス(株),3521,東証1部,不動産業,2010年10月25日,28円買い,2010年12月10日,37円売り,9円,32.14%(1.32倍)
日本写真印刷(株),7915,東証1部,その他製品,2010年11月2日,1643円買い,2010年12月28日,2170円売り,527円,32.08%(1.32倍)
(株)ティーガイア,3738,東証1部,情報・通信業,2010年10月26日,547.5円買い,2010年12月30日,723円売り,175.5円,32.05%(1.32倍)
帝国繊維(株),3302,東証1部,繊維製品,2010年2月9日,412円買い,2010年12月17日,544円売り,132円,32.04%(1.32倍)
シチズンホールディングス(株),7762,東証1部,精密機器,2010年8月31日,431円買い,2010年12月17日,569円売り,138円,32.02%(1.32倍)
中国塗料(株),4617,東証1部,化学,2010年2月1日,555円買い,2010年5月14日,732円売り,177円,31.89%(1.32倍)
(株)ニフコ,7988,東証1部,化学,2010年5月25日,1801円買い,2010年12月15日,2375円売り,574円,31.87%(1.32倍)
(株)東京精密,7729,東証1部,精密機器,2010年9月1日,1014円買い,2010年12月16日,1337円売り,323円,31.85%(1.32倍)
ＪＸホールディングス(株),5020,東証1部,石油石炭製品,2010年8月31日,424円買い,2010年12月29日,559円売り,135円,31.84%(1.32倍)
澁谷工業(株),6340,東証1部,機械,2010年6月7日,683円買い,2010年9月17日,900円売り,217円,31.77%(1.32倍)
(株)モリタホールディングス,6455,東証1部,輸送用機器,2010年3月3日,384円買い,2010年12月30日,506円売り,122円,31.77%(1.32倍)
田中商事(株),7619,東証1部,卸売業,2010年10月27日,255円買い,2010年11月11日,336円売り,81円,31.76%(1.32倍)
(株)ウッドワン,7898,東証1部,その他製品,2010年11月1日,212円買い,2010年12月24日,279円売り,67円,31.6%(1.32倍)
レック(株),7874,東証1部,化学,2010年10月28日,1111円買い,2010年12月30日,1462円売り,351円,31.59%(1.32倍)
水戸証券(株),8622,東証1部,証券商品先物,2010年11月1日,114円買い,2010年12月17日,150円売り,36円,31.58%(1.32倍)
大東建託(株),1878,東証1部,建設業,2010年2月25日,4290円買い,2010年12月29日,5640円売り,1350円,31.47%(1.31倍)
三菱地所(株),8802,東証1部,不動産業,2010年7月22日,1164円買い,2010年12月29日,1530円売り,366円,31.44%(1.31倍)
あい　ホールディングス(株),3076,東証1部,卸売業,2010年2月10日,264円買い,2010年5月14日,347円売り,83円,31.44%(1.31倍)
藤倉ゴム工業(株),5121,東証1部,ゴム製品,2010年2月12日,296円買い,2010年4月2日,389円売り,93円,31.42%(1.31倍)
極東開発工業(株),7226,東証1部,輸送用機器,2010年9月1日,265円買い,2010年12月22日,348円売り,83円,31.32%(1.31倍)
ユニオンツール(株),6278,東証1部,機械,2010年9月1日,1815円買い,2010年12月21日,2383円売り,568円,31.29%(1.31倍)
タキロン(株),4215,東証1部,化学,2010年2月16日,227円買い,2010年4月26日,298円売り,71円,31.28%(1.31倍)
(株)ピーエス三菱,1871,東証1部,建設業,2010年8月27日,179円買い,2010年12月21日,235円売り,56円,31.28%(1.31倍)
ＳＨＯ−ＢＩ(株),7819,東証1部,その他製品,2010年11月2日,390円買い,2010年12月30日,512円売り,122円,31.28%(1.31倍)
(株)フジ・メディア・ホールディングス,4676,東証1部,情報・通信業,2010年10月26日,1004円買い,2010年12月16日,1318円売り,314円,31.27%(1.31倍)
スズキ(株),7269,東証1部,輸送用機器,2010年8月25日,1592円買い,2010年11月18日,2089円売り,497円,31.22%(1.31倍)
(株)エフ・シー・シー,7296,東証1部,輸送用機器,2010年7月22日,1555円買い,2010年12月14日,2040円売り,485円,31.19%(1.31倍)
(株)ココカラファイン,3098,東証1部,小売業,2010年2月24日,1454円買い,2010年9月29日,1907円売り,453円,31.16%(1.31倍)
(株)九電工,1959,東証1部,建設業,2010年10月29日,414円買い,2010年12月21日,543円売り,129円,31.16%(1.31倍)
平和不動産(株),8803,東証1部,不動産業,2010年8月25日,980円買い,2010年12月17日,1285円売り,305円,31.12%(1.31倍)
岡部(株),5959,東証1部,金属製品,2010年1月6日,299円買い,2010年12月17日,392円売り,93円,31.1%(1.31倍)
石塚硝子(株),5204,東証1部,ガラス土石製品,2010年11月2日,132円買い,2010年12月16日,173円売り,41円,31.06%(1.31倍)
川崎重工業(株),7012,東証1部,輸送用機器,2010年8月12日,213円買い,2010年12月22日,279円売り,66円,30.99%(1.31倍)
三益半導体工業(株),8155,東証1部,金属製品,2010年11月2日,720円買い,2010年12月30日,943円売り,223円,30.97%(1.31倍)
住友ゴム工業(株),5110,東証1部,ゴム製品,2010年2月19日,701円買い,2010年5月13日,918円売り,217円,30.96%(1.31倍)
日本電気硝子(株),5214,東証1部,ガラス土石製品,2010年8月25日,937円買い,2010年11月22日,1227円売り,290円,30.95%(1.31倍)
(株)東海理化,6995,東証1部,輸送用機器,2010年10月26日,1241円買い,2010年12月16日,1625円売り,384円,30.94%(1.31倍)
(株)ツカモトコーポレーション,8025,東証1部,卸売業,2010年8月24日,68円買い,2010年12月17日,89円売り,21円,30.88%(1.31倍)
鳥居薬品(株),4551,東証1部,医薬品,2010年7月20日,1345円買い,2010年12月30日,1760円売り,415円,30.86%(1.31倍)
ＩＴホールディングス(株),3626,東証1部,情報・通信業,2010年8月24日,862円買い,2010年12月16日,1128円売り,266円,30.86%(1.31倍)
(株)エンプラス,6961,東証1部,電気機器,2010年10月27日,990円買い,2010年12月30日,1295円売り,305円,30.81%(1.31倍)
(株)山梨中央銀行,8360,東証1部,銀行業,2010年10月28日,289円買い,2010年12月22日,378円売り,89円,30.8%(1.31倍)
東燃ゼネラル石油(株),5012,東証1部,石油石炭製品,2010年11月2日,711円買い,2010年12月17日,930円売り,219円,30.8%(1.31倍)
ユニチカ(株),3103,東証1部,繊維製品,2010年2月19日,65円買い,2010年5月14日,85円売り,20円,30.77%(1.31倍)
尾家産業(株),7481,東証1部,卸売業,2010年10月29日,673円買い,2010年12月14日,880円売り,207円,30.76%(1.31倍)
ハリマ化成グループ(株),4410,東証1部,化学,2010年2月2日,423円買い,2010年4月26日,553円売り,130円,30.73%(1.31倍)
(株)今仙電機製作所,7266,東証1部,輸送用機器,2010年11月2日,935円買い,2010年12月30日,1222円売り,287円,30.7%(1.31倍)
日本新薬(株),4516,東証1部,医薬品,2010年6月15日,924円買い,2010年10月19日,1207円売り,283円,30.63%(1.31倍)
(株)タムラ製作所,6768,東証1部,電気機器,2010年11月2日,196円買い,2010年12月16日,256円売り,60円,30.61%(1.31倍)
東洋建設(株),1890,東証1部,建設業,2010年11月2日,180円買い,2010年12月16日,235円売り,55円,30.56%(1.31倍)
