発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
1999-01-14,山陽コカ・コーラボトリング,コカ･コーラ ボトラーズジャパンホールディングス,585.92,1090.07,,4011.22,,84.7628,,22.68,,237.287,,
1999-01-20,東京田辺製薬,三菱ケミカル,318.26,379.31,,15888.3,,803.301,5.60432,,3.26,177.234,,
1999-01-20,三井信託銀行,中央三井信託銀行,1920.09,,,,,,,,,2136.03,,
1999-01-22,AutoWeb Communication Inc,日本電信電話,11.2,23218.8,,55568.1,,2084.34,,21.11,,,PHONE NO RADI,
1999-01-23,Japan Leasing Corp assets,ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE),6894.75,,,55854.0,,7937.0,,,,,ELECT EQUIP,
1999-01-25,尾西毛糸紡績,日本毛織,6.91,88.6008,,695.034,,18.7842,,8.95,,,,
1999-01-26,ECOTRON Holding AG,日立アロカメディカル,3.61,,,314.569,,,,,,,,
1999-01-28,EURO AEROSPACE FINANCE UNIT,Banca Commerciale Italiana SpA,900.0,1605.94,,,,,,,,,,
1999-01-29,バーミヤン,すかいらーく,194.54,,,1100.54,88.4679,,2.10393,,2.67,154.19,,
1999-02-05,ハイマート,エコス,53.22,161.318,,946.783,,0.468823,,4.98,,,,
1999-02-09,第百生命保険,ﾏﾆｭﾌｧｸﾁｬﾗｰｽﾞ･ﾗｲﾌ･ｲﾝｼｭｱﾗﾝｽ,698.02,,,,,,,,,,,
1999-02-10,三興製紙,高崎三興,69.62,,,,,,,,,,,
1999-02-10,日野自動車販売,日野自動車,50.85,585.24,,11743.4,,307.712,,19.8,,,,
1999-02-16,SYNTHETIC-RESIN COMPANY,Grand Polymer Co,168.95,,,,,,,,,,,
1999-02-16,SYNTHETIC-RESIN COMPANY,Grand Polymer Co,168.95,,,,,,,,,,,
1999-02-19,Packard Bell NEC Europe BV,日本電気,452.16,8352.62,,20198.5,,492.541,,39.66,,,COMPUTR/OFFICE,ELEC COMPUTER
1999-02-22,Banca del Gottardo,スイス･ライフ･ホールディング,942.0,1141.07,97.8272,,,,,,,163.621,,
1999-02-24,ボッシュ,ﾛﾊﾞｰﾄ･ﾎﾞｯｼｭ,165.61,25669.6,,55883.2,2633.11,4350.88,,,,,VEHICLE PARTS,
1999-02-25,HATORI-MARSHALL CO LTD,Nittan Exco Ltd,1.47,,,,,,,,,,,
1999-02-26,CENTURY PLAZA HOTEL & TOWER,Pivotal Group Inc,260.0,,,,,,,,,,INVEST ADVICE,
1999-03-01,中央スバル自動車,ＳＵＢＡＲＵ,8.76,2829.74,,22507.7,,899.955,,27.46,0.08,61.5356,,
1999-03-03,信州ジャスコ,イオン,40.09,11650.1,,52210.2,,99.6343,,13.6,,,,
1999-03-04,MARUKO TRUCK PLANT,三菱商事,196.84,6365.89,,122488.0,,1864.39,,28.78,,,,
1999-03-04,MAKURO TRUCK PLANT,キヤノン,68.04,1.3774,,17677.1,,480.136,,17.08,,,PHOTOG EQUIP,
1999-03-08,ソニープレシジョン・テクノロジー,ソニーグループ,88.26,84.2094,,64791.7,67.7093,952.473,,59.69,4.53,32.1722,RADIO/TV EQUIP,
1999-03-08,ソニー･ミュージックエンタテインメント,ソニーグループ,1896.71,84.2094,,64791.7,1237.37,952.473,,59.69,,,RADIO/TV EQUIP,
1999-03-08,BioVector Inc,Zホールディングス,1.35,1295.01,,4345.61,,,,20.3,,,,
1999-03-08,De Lage Landen Financial Services Inc,ﾗﾎﾞﾊﾞﾝｸ,410.0,5347.87,,,,,,,,,SEC EXCHANGES,
1999-03-08,PBI HOME & GARDEN LTD,ﾊﾞｲｴﾙ,16.39,11153.6,,20081.8,,3242.07,,,,,PHARM PREPS,
1999-03-08,デクセリアルズ,ソニーグループ,406.28,84.2094,,64791.7,357.633,952.473,,59.69,11.17,49.4824,RADIO/TV EQUIP,
1999-03-08,2 TOUCH SCREEN BUSINESSES,ＳＭＫ,100.0,38.3739,,378.049,,28.1891,,6.03,,,,
1999-03-09,RJ Reynolds International,日本たばこ産業,8000.0,2883.87,,8707.49,,3241.02,,12.19,,,,
1999-03-16,ANNE KLEIN TRADEMARKS,Kasper Ltd,60.0,,,247.952,,6.482,,,,,WOMEN'S OUTR,
1999-03-16,Electric Motors Division,デンソー,164.67,2120.89,,42500.5,,1758.98,,20.77,,,,
1999-03-18,三菱信証券,三菱ＵＦＪ銀行,127.46,,,,,,,,,,COML BANK NEC,
1999-03-23,ｿﾌﾄﾊﾞﾝｸIDCｿﾘｭｰｼｮﾝｽﾞ,ｹｰﾌﾞﾙ･ｱﾝﾄﾞ･ﾜｲﾔﾚｽ･ｺﾐｭﾆｹｰｼｮﾝｽﾞ,726.76,,,,,,,,,,PHONE NO RADI,
1999-03-23,富士通クラウドテクノロジーズ,富士通,220.25,11393.5,50.87,23360.2,407.535,566.685,1.92,54.58,21.41,139.655,,
1999-03-24,和光証券,みずほ証券,325.62,1255.32,,,,,,,,481.94,,
1999-03-25,Teijin Molecular Simulations Inc,ﾊﾞｲｵﾋﾞｱ,10.0,,,54.367,,,,,,,PREPAKG SOFTW,
1999-03-25,PROPERTY IN KITA-KU DISTRICT,Investor Group,140.62,,,,,,,,,,,
1999-03-26,Mega Sports Co Ltd,イオン,13.0,11650.1,,52210.2,,99.6343,,13.6,,,,
1999-03-29,Ryoshin Leasing Corp,三菱HCキャピタル,66.87,310.529,,,,,,18.75,,,,
1999-03-29,Fusion Systems Japan Co Ltd,CGI Information Technology Services Inc,57.56,,,157.2,,,,,,,COMPU SYS DES,
1999-03-30,FARRELL WAKO GLOBAL INVESTMEN,住友生命保険,6.66,,,,,,,,,,,
1999-03-30,OFFICE DEPOT'S JAPANESE OPS,ｵﾌｨｽ･ﾃﾞﾎﾟ,28.08,,,,,,,,,,MISC. SHOPS,
1999-03-31,Nittan Exco Ltd,セントラル短資,12.73,,,,,,,,,,,
1999-03-31,日本電気精器,TDKラムダ,57.13,,,331.672,,,,,,44.0665,,
1999-03-31,SECURITIES BUSINESS,ﾐｼｽ,3.23,,,,,,,,,,,
1999-04-02,関西廣済堂,広済堂ホールディングス,103.79,22.8942,,220.049,,1.71775,,4.07,,,,
1999-04-06,13 Office bldgs in Tokyo,ｸﾚﾃﾞｨ･ｽｲｽ ﾌｧｰｽﾄ･ﾎﾞｽﾄﾝ,300.0,,,,,,,,,,SEC BROKER/DLR,
1999-04-12,NETWORK EQUIPMENT OPERATION,ｱﾗｲﾄﾞﾃﾚｼｽﾎｰﾙﾃﾞｨﾝｸﾞｽ,4.17,51.665,,124.513,,8.13235,,44.72,,,,
1999-04-13,Techno Flex Co Ltd,ｼﾆｱ,10.01,363.457,,,,69.7566,,,,,,
1999-04-15,Cardiovascular division,テルモ,100.0,1545.17,,2910.94,,400.506,,31.1,,,,
1999-04-20,クラヤ薬品,メディパルホールディングス,668.61,916.88,,28384.7,,,,31.45,,,,HOMEFURNISHNG
1999-04-20,Tokyo Iyakuhin,メディパルホールディングス,42.67,916.88,,28384.7,,,,31.45,,,,
1999-04-23,5 STORES IN GUNMA PREFECTURE,フレッセイ,16.74,,,,,,,,,,GROCERY STORE,
1999-04-23,Swale Process Ltd,ＤＩＣ,13.57,419.414,,5441.1,,532.991,,23.48,,,,
1999-04-23,CHIYODA BUILDING,*MISTAKE(Meiji Mutual Life Insurance Co),426.96,,,,,,,,,,,
1999-04-26,アイエックス,アイエックス・ナレッジ,86.28,79.7469,,135.261,,,,1.55,,9.61151,,
1999-04-28,セイサ,住友重機械工業,5.29,502.37,,6562.72,58.6396,381.186,,41.82,,,,
1999-05-03,Ala Moana Center of Hawaii,ﾌﾞﾙｯｸﾌｨｰﾙﾄﾞ･ﾌﾟﾛﾊﾟﾃｨREIT,800.97,,,,,,,,,,REITS,
1999-05-03,EMI Co,Transportation Technologies Industries Inc/Old,18.7,,,429.711,,14.481,,,,,RAILROAD EQUIP,
1999-05-12,JT International Bhd,日本たばこ産業,162.86,2883.87,2.03502,8707.49,,3241.02,12.7771,12.19,,353.211,,
1999-05-13,太平洋証券,ＵＦＪつばさ証券,183.02,,,,,,,3.8,,144.891,,
1999-05-14,東和証券,ＵＦＪつばさ証券,220.86,,,,,,,3.8,,,,
1999-05-14,第一證券,ＵＦＪつばさ証券,238.83,,,,,,,3.8,2.47,176.716,,
1999-05-16,DRAX POWER STATION,丸紅,3236.4,2916.88,,61513.6,,,,30.39,,,,
1999-05-17,GLOBAL FORKLIFT TRUCK BUSINES,ナッコ･インダストリーズ,300.0,,,133.647,,17.695,,,,,HSHLD APPLIANC,
1999-05-18,Pokwang FamilyMart Co,ファミリーマート,34.49,749.002,,482.169,,,,,,,,
