取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	05/25/2007	イプセ渋谷Ｔｉｅｒｓ	大和ハウスリート投資法人		11.5	Completed					318.716	43.2651		508.683							N.A.	8984 JP		REITS			Real Estate									
M&A	05/09/2002	Electronics Device Sale	グローセル	Okura Shoko	11.5	Completed					0.281775	-0.177771	9.63645	586.469					OSHZ JP		Distribution/Wholesale	9995 JP	468	Distribution/Wholesale			Distribution/Wholesale									
M&A	03/21/2017	Land & building/Shinjuku Tokyo	Unnamed Buyer	学研ホールディングス	11.49	Completed	81.0856	4.2336	29.883	1391.48									9470 JP	7690	Media			Investment Companies			Real Estate				86.645	71.43				
M&A	03/24/2006	テラス乃木坂	いちごオフィスリート投資法人	ケイ・エイ・ツー	11.49	Completed					91.65	51.4242		146.907					KATWOZ JP		Country Funds-Closed-end	8975 JP		REITS			Real Estate									
M&A	07/23/2012	Abilitas Hospitality Co Ltd	株式会社ザイマックス	ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ	11.48	Completed	33759	40.4106		61907									GS US	40800	Diversified Finan Serv	XYMAXZ JP		Real Estate	0612101D JP		Real Estate				37.662	53.312				
M&A	01/15/2014	IIF習志野ロジスティクスセンターⅡ	産業ファンド投資法人	茜浜プロパティー特定目的会社	11.47	Completed					174.872	52.0136		269.377					0942162D JP		Real Estate	3249 JP		REITS			Real Estate									
M&A	05/18/2009	宮田工業	モリタホールディングス		11.47	Completed					103.524	10.2334	26.1036	795.302	7.3521	2.94528	20.6351	170.344			N.A.	6455 JP	1796	Miscellaneous Manufactur	7301 JP		Electronics									
M&A	01/24/2017	IIF盛岡ロジスティクスセンターII	産業ファンド投資法人		11.47	Completed					174.872	52.0136		269.377							N.A.	3249 JP		REITS			Real Estate									
M&A	05/12/2017	北洋証券株式会社	北洋銀行		11.46	Completed						15.9004		995.503							N.A.	8524 JP	3106	Banks	1509904D JP		Diversified Finan Serv						26.1	24.6		
M&A	09/06/2012	Primmeson Takami	積水ﾊｳｽ・ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	積水ハウス	11.46	Completed	2123.49	8.13451	19.8108	23441.4	83.071	43.6877		124.113					1928 JP	28362	Home Builders	8973 JP		REITS			Home Builders				227.345	213.785				
M&A	10/03/2007	ベルプラザショッピングセンター	積水ﾊｳｽ・ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	"ベルプラザ,モールパートナーズ"	11.46	Completed					83.071	43.6877		124.113							Real Estate	8973 JP		REITS			Real Estate									
